month_t_minus_12,month_t_minus_11,month_t_minus_10,month_t_minus_9,month_t_minus_8,month_t_minus_7,month_t_minus_6,month_t_minus_5,month_t_minus_4,month_t_minus_3,month_t_minus_2,month_t_minus_1
0.3102722,0.60942,1.0323544,0.8466775,0.5062668,-0.4530729,-0.814115,-0.9894782,-0.65938324,-0.8656916,-0.72127557,-0.6284361
0.60942,1.0323544,0.8466775,0.5062668,-0.4530729,-0.814115,-0.9894782,-0.65938324,-0.8656916,-0.72127557,-0.6284361,-0.60780466
1.0323544,0.8466775,0.5062668,-0.4530729,-0.814115,-0.9894782,-0.65938324,-0.8656916,-0.72127557,-0.6284361,-0.60780466,0.10396185
0.8466775,0.5062668,-0.4530729,-0.814115,-0.9894782,-0.65938324,-0.8656916,-0.72127557,-0.6284361,-0.60780466,0.10396185,0.63005143
0.5062668,-0.4530729,-0.814115,-0.9894782,-0.65938324,-0.8656916,-0.72127557,-0.6284361,-0.60780466,0.10396185,0.63005143,0.82604605
-0.4530729,-0.814115,-0.9894782,-0.65938324,-0.8656916,-0.72127557,-0.6284361,-0.60780466,0.10396185,0.63005143,0.82604605,0.3721645
-0.814115,-0.9894782,-0.65938324,-0.8656916,-0.72127557,-0.6284361,-0.60780466,0.10396185,0.63005143,0.82604605,0.3721645,0.0008066837
-0.9894782,-0.65938324,-0.8656916,-0.72127557,-0.6284361,-0.60780466,0.10396185,0.63005143,0.82604605,0.3721645,0.0008066837,-0.18487026
-0.65938324,-0.8656916,-0.72127557,-0.6284361,-0.60780466,0.10396185,0.63005143,0.82604605,0.3721645,0.0008066837,-0.18487026,-0.4530729
-0.8656916,-0.72127557,-0.6284361,-0.60780466,0.10396185,0.63005143,0.82604605,0.3721645,0.0008066837,-0.18487026,-0.4530729,-0.68001467
-0.72127557,-0.6284361,-0.60780466,0.10396185,0.63005143,0.82604605,0.3721645,0.0008066837,-0.18487026,-0.4530729,-0.68001467,-0.6387518
-0.6284361,-0.60780466,0.10396185,0.63005143,0.82604605,0.3721645,0.0008066837,-0.18487026,-0.4530729,-0.68001467,-0.6387518,-0.68001467
-0.60780466,0.10396185,0.63005143,0.82604605,0.3721645,0.0008066837,-0.18487026,-0.4530729,-0.68001467,-0.6387518,-0.68001467,-0.66969895
0.10396185,0.63005143,0.82604605,0.3721645,0.0008066837,-0.18487026,-0.4530729,-0.68001467,-0.6387518,-0.68001467,-0.66969895,-0.32928827
0.63005143,0.82604605,0.3721645,0.0008066837,-0.18487026,-0.4530729,-0.68001467,-0.6387518,-0.68001467,-0.66969895,-0.32928827,0.062700965
0.82604605,0.3721645,0.0008066837,-0.18487026,-0.4530729,-0.68001467,-0.6387518,-0.68001467,-0.66969895,-0.32928827,0.062700965,0.4959511
0.3721645,0.0008066837,-0.18487026,-0.4530729,-0.68001467,-0.6387518,-0.68001467,-0.66969895,-0.32928827,0.062700965,0.4959511,0.8982541
0.0008066837,-0.18487026,-0.4530729,-0.68001467,-0.6387518,-0.68001467,-0.66969895,-0.32928827,0.062700965,0.4959511,0.8982541,0.81573033
-0.18487026,-0.4530729,-0.68001467,-0.6387518,-0.68001467,-0.66969895,-0.32928827,0.062700965,0.4959511,0.8982541,0.81573033,0.011122397
-0.4530729,-0.68001467,-0.6387518,-0.68001467,-0.66969895,-0.32928827,0.062700965,0.4959511,0.8982541,0.81573033,0.011122397,-0.71095985
-0.68001467,-0.6387518,-0.68001467,-0.66969895,-0.32928827,0.062700965,0.4959511,0.8982541,0.81573033,0.011122397,-0.71095985,-1.1338942
-0.6387518,-0.68001467,-0.66969895,-0.32928827,0.062700965,0.4959511,0.8982541,0.81573033,0.011122397,-0.71095985,-1.1338942,-1.2061043
-0.68001467,-0.66969895,-0.32928827,0.062700965,0.4959511,0.8982541,0.81573033,0.011122397,-0.71095985,-1.1338942,-1.2061043,-0.8347464
-0.66969895,-0.32928827,0.062700965,0.4959511,0.8982541,0.81573033,0.011122397,-0.71095985,-1.1338942,-1.2061043,-0.8347464,-0.9379016
-0.32928827,0.062700965,0.4959511,0.8982541,0.81573033,0.011122397,-0.71095985,-1.1338942,-1.2061043,-0.8347464,-0.9379016,-0.94821733
0.062700965,0.4959511,0.8982541,0.81573033,0.011122397,-0.71095985,-1.1338942,-1.2061043,-0.8347464,-0.9379016,-0.94821733,-0.71095985
0.4959511,0.8982541,0.81573033,0.011122397,-0.71095985,-1.1338942,-1.2061043,-0.8347464,-0.9379016,-0.94821733,-0.71095985,-0.08171706
